,model,alpha,length,loc_error,num_traj,eduN,UPV-MAT,FCI,UCL,Erasmus MC,Anomalous Unicorns,DecBayComp,NOA,QuBI,DeepSPT,WUST ML B,WUST ML A,BIT,TSA
0,sbm,0.05,10,1.0,27,0.4074074074074074,0.48148148148148145,0.2962962962962963,0.3333333333333333,0.4444444444444444,0.2962962962962963,0.25925925925925924,0.2962962962962963,0.2962962962962963,0.3333333333333333,0.4074074074074074,0.2962962962962963,0.18518518518518517,0.3333333333333333
1,sbm,0.05,10,2.0,21,0.5714285714285714,0.38095238095238093,0.5714285714285714,0.6190476190476191,0.7619047619047619,0.42857142857142855,0.5714285714285714,0.47619047619047616,0.5238095238095238,0.38095238095238093,0.6190476190476191,0.42857142857142855,0.5714285714285714,0.2857142857142857
2,sbm,0.05,10,10.0,18,0.3888888888888889,0.5,0.5555555555555556,0.4444444444444444,0.8333333333333334,0.3888888888888889,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.5,0.2222222222222222
3,sbm,0.25,10,1.0,20,0.35,0.35,0.3,0.6,0.35,0.20000000000000004,0.5,0.45,0.4000000000000001,0.25,0.25,0.20000000000000004,0.4000000000000001,0.20000000000000004
4,sbm,0.25,10,2.0,24,0.75,0.9166666666666666,0.7083333333333334,0.75,0.8333333333333334,0.4166666666666667,0.8333333333333334,0.7083333333333334,0.6666666666666666,0.3333333333333333,0.375,0.5,0.5833333333333334,0.5
5,sbm,0.25,10,10.0,22,0.6818181818181818,0.5909090909090909,0.5909090909090909,0.6818181818181818,0.8181818181818182,0.5,0.6818181818181818,0.5,0.7727272727272727,0.3181818181818182,0.5,0.5454545454545454,0.6818181818181818,0.4090909090909091
6,sbm,0.45,10,1.0,17,0.6470588235294118,0.6470588235294118,0.5882352941176471,0.7647058823529412,0.7058823529411765,0.5294117647058824,0.5882352941176471,0.4117647058823529,0.6470588235294118,0.29411764705882354,0.4117647058823529,0.4117647058823529,0.47058823529411764,0.23529411764705882
7,sbm,0.45,10,2.0,14,0.5,0.6428571428571429,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.35714285714285715,0.6428571428571429,0.5714285714285714,0.5,0.14285714285714285,0.5,0.2857142857142857,0.5714285714285714,0.42857142857142855
8,sbm,0.45,10,10.0,22,0.5909090909090909,0.5,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.18181818181818182,0.5,0.6363636363636364,0.36363636363636365,0.4090909090909091,0.5,0.4090909090909091,0.5,0.2727272727272727
9,sbm,0.6500000000000001,10,1.0,11,0.6363636363636364,0.6363636363636364,0.45454545454545453,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.18181818181818182
10,sbm,0.6500000000000001,10,2.0,24,0.625,0.5833333333333334,0.75,0.5,0.75,0.7083333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.5416666666666666,0.375
11,sbm,0.6500000000000001,10,10.0,12,0.5,0.75,0.5833333333333334,0.5,0.5,0.3333333333333333,0.5,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.3333333333333333
12,sbm,0.8500000000000001,10,1.0,14,0.5,0.42857142857142855,0.42857142857142855,0.21428571428571427,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.5,0.21428571428571427
13,sbm,0.8500000000000001,10,2.0,18,0.5555555555555556,0.5,0.3888888888888889,0.6111111111111112,0.5555555555555556,0.4444444444444444,0.3888888888888889,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3888888888888889,0.3333333333333333,0.2777777777777778,0.16666666666666666
14,sbm,0.8500000000000001,10,10.0,21,0.38095238095238093,0.42857142857142855,0.38095238095238093,0.42857142857142855,0.42857142857142855,0.23809523809523808,0.38095238095238093,0.2857142857142857,0.2857142857142857,0.38095238095238093,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.23809523809523808
15,sbm,1.05,10,1.0,8,0.625,0.375,0.5,0.375,0.75,0.25,0.375,0.125,0.75,0.375,0.125,0.25,0.25,0.125
16,sbm,1.05,10,2.0,13,0.46153846153846156,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.6153846153846154,0.3076923076923077,0.6153846153846154,0.6153846153846154,0.5384615384615384,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.3076923076923077,0.07692307692307693
17,sbm,1.05,10,10.0,5,0.8000000000000002,0.6,0.8000000000000002,0.4000000000000001,0.4000000000000001,0.20000000000000004,0.8000000000000002,0.4000000000000001,0.6,0.6,0.6,0.20000000000000004,0.8000000000000002,0.4000000000000001
18,sbm,1.2500000000000002,10,1.0,12,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.4166666666666667,0.5833333333333334,0.25,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.0
19,sbm,1.2500000000000002,10,2.0,10,0.3,0.5,0.6,0.6,0.5,0.3,0.7,0.5,0.6,0.4000000000000001,0.5,0.20000000000000004,0.6,0.4000000000000001
20,sbm,1.2500000000000002,10,10.0,15,0.6666666666666666,0.6,0.5333333333333333,0.7333333333333333,0.6666666666666666,0.26666666666666666,0.5333333333333333,0.5333333333333333,0.6666666666666666,0.4000000000000001,0.6,0.4000000000000001,0.6,0.0
21,sbm,1.4500000000000002,10,1.0,18,0.5,0.5555555555555556,0.5,0.5,0.5555555555555556,0.2222222222222222,0.6111111111111112,0.4444444444444444,0.5555555555555556,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.1111111111111111
22,sbm,1.4500000000000002,10,2.0,13,0.5384615384615384,0.38461538461538464,0.5384615384615384,0.38461538461538464,0.5384615384615384,0.46153846153846156,0.6923076923076923,0.46153846153846156,0.5384615384615384,0.6153846153846154,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.07692307692307693
23,sbm,1.4500000000000002,10,10.0,8,0.625,0.75,0.875,0.875,0.75,0.625,0.75,0.625,0.75,0.625,0.625,0.5,0.875,0.125
24,sbm,1.6500000000000001,10,1.0,10,0.3,0.7,0.3,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.4000000000000001,0.3,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.10000000000000002,0.10000000000000002
25,sbm,1.6500000000000001,10,2.0,14,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.35714285714285715,0.7142857142857143,0.35714285714285715,0.7857142857142857,0.07142857142857142
26,sbm,1.6500000000000001,10,10.0,18,0.6666666666666666,0.7777777777777778,0.8333333333333334,0.6666666666666666,0.9444444444444444,0.5,0.6111111111111112,0.7777777777777778,0.6111111111111112,0.4444444444444444,0.8333333333333334,0.6111111111111112,0.7222222222222222,0.2777777777777778
27,sbm,1.85,10,1.0,17,0.35294117647058826,0.6470588235294118,0.7647058823529412,0.6470588235294118,0.7058823529411765,0.4117647058823529,0.7058823529411765,0.5882352941176471,0.6470588235294118,0.47058823529411764,0.5294117647058824,0.29411764705882354,0.35294117647058826,0.11764705882352941
28,sbm,1.85,10,2.0,9,0.3333333333333333,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.4444444444444444,0.1111111111111111
29,sbm,1.85,10,10.0,10,0.8000000000000002,0.9,0.8000000000000002,0.8000000000000002,0.9,0.5,0.9,0.7,0.9,0.7,0.7,0.5,0.8000000000000002,0.4000000000000001
