,model,alpha,length,loc_error,num_traj,UCL,eduN,UPV-MAT,Erasmus MC,WUST ML A,WUST ML B,BIT
0,sbm,0.05,10,1.33,2,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1,sbm,0.05,10,1.67,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,sbm,0.05,10,4.0,4,0.75,0.5,1.0,1.0,0.5,0.75,0.5
3,sbm,0.05,10,4.33,6,0.6666666666666666,0.5,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.16666666666666666
4,sbm,0.05,10,7.0,4,1.0,0.75,1.0,1.0,1.0,1.0,0.5
5,sbm,0.05,10,7.33,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,sbm,0.05,10,10.0,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0
7,sbm,0.25,10,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,sbm,0.25,10,1.33,2,1.0,1.0,1.0,1.0,0.5,1.0,0.5
9,sbm,0.25,10,1.67,4,0.5,0.75,1.0,1.0,1.0,1.0,0.5
10,sbm,0.25,10,2.0,4,1.0,0.75,1.0,1.0,0.75,1.0,0.5
11,sbm,0.25,10,4.0,2,0.5,0.5,0.5,0.5,0.0,0.0,0.5
12,sbm,0.25,10,4.33,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333
13,sbm,0.25,10,4.67,5,1.0,0.8000000000000002,1.0,0.8000000000000002,0.4000000000000001,0.8000000000000002,0.4000000000000001
14,sbm,0.25,10,7.0,4,1.0,0.75,1.0,1.0,0.75,0.75,0.25
15,sbm,0.25,10,7.33,2,1.0,1.0,1.0,1.0,0.0,1.0,0.5
16,sbm,0.25,10,10.0,2,1.0,0.5,1.0,1.0,0.0,0.0,1.0
17,sbm,0.45,10,1.0,2,0.5,0.5,1.0,1.0,0.5,0.0,0.5
18,sbm,0.45,10,1.33,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
19,sbm,0.45,10,1.67,3,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
20,sbm,0.45,10,4.0,2,0.5,0.5,0.5,1.0,0.5,0.5,0.0
21,sbm,0.45,10,4.33,4,0.75,0.5,0.75,0.75,0.25,1.0,0.25
