,model,alpha,length,diff_coef,loc_error,UPV-MAT,HNU,eduN,UCL,FCI,Erasmus MC,DecBayComp,DeepSPT,BIT,WUST ML B,QuBI,Anomalous Unicorns,TSA,TA-MSD
0,3.0,1.9500000000000002,99,-1.4729331564380486,2.0,1.804,1.764003,1.75346,1.925,1.7002308,1.7397325038909912,1.7490731,1.600108,1.6986,1.8053591,1.7449,1.0,1.54173,1.77783
1,4.0,1.2500000000000002,713,-0.10083146964596708,1.0,1.419,1.4297541,1.38845,1.375,1.7081152,1.4649792909622192,1.5606186000000002,1.287853,0.95911,1.0069789,1.0204,1.6037468910217283,1.30198,0.99229
2,3.0,1.3,755,-1.8759299858881293,1.0,1.389,1.3313501,1.27676,1.175,1.4066491,1.3045432567596436,1.1662931,1.299256,1.3672,1.2905695,1.3947,1.0,0.95716,1.29346
3,0.0,0.6500000000000001,93,-0.10297191396819853,10.0,1.044,0.81094384,0.78063,1.0,1.0278864,0.7930362820625305,0.72608626,1.472778,0.91474,1.0313609,1.0404,1.0728631019592283,1.01827,0.9434
4,1.0,0.8500000000000001,786,-0.43467951593276943,2.0,0.791,0.84859306,0.86733,0.95,0.81658137,0.8319863677024841,0.7613361999999999,0.717695,0.99468,0.68164665,0.51113,0.8872236013412476,0.80621,0.94863
5,2.0,0.6000000000000001,542,-0.30267944553744036,2.0,0.584,0.6472079,0.60731,0.6,0.6857551,0.601503312587738,0.7380960999999999,0.740994,0.61526,0.73925745,0.88845,1.0555198192596436,0.55374,0.53781
6,1.0,0.9000000000000001,442,-0.6706017789657923,2.0,0.898,0.8989128,0.88786,0.95,0.97378564,0.8109397292137146,0.8089113,0.746085,1.2348,0.6607542,0.59393,0.8922200202941895,1.15859,0.95778
7,4.0,0.7500000000000001,666,1.9443459646414316,2.0,0.766,0.7701104,0.74455,0.75,0.8380599,0.6422531604766846,0.70433116,0.732581,0.99649,1.0288148,1.0238,1.0625909566879272,0.70106,0.93284
8,4.0,1.3,914,0.45450744842560903,10.0,1.391,1.35733,1.33553,1.325,1.5588572,1.4114329814910889,1.4753227,1.154548,1.5235,1.1345161,1.1848,1.33044171333313,1.38634,0.91128
9,3.0,1.6500000000000001,727,0.2510480625774567,1.0,1.503,1.4851359,1.49563,1.475,1.4058653,1.4488707780838013,1.4020716,1.302733,1.7544,1.4168211,1.4436,1.492042899131775,1.27688,1.34344
10,2.0,1.5000000000000002,903,-2.003902741491157,2.0,1.425,1.4134632,1.46625,1.425,1.4744915,1.320747971534729,1.5703717,1.521259,1.4792,1.2651871,1.3817,1.5386545658111572,1.51395,1.44401
11,1.0,0.45,954,0.6096208955535068,10.0,0.327,0.35124147,0.30389,0.35,0.46939206,0.2947863638401031,0.4334393,0.403568,0.40741,0.38615686,0.44359,1.05,0.82287,1.00893
12,4.0,1.4500000000000002,208,0.6837776447965698,2.0,1.576,1.6047028,1.63481,1.925,1.4874992,1.300693392753601,1.0206558,1.350391,1.4856,0.8885735,1.0157,1.4522438049316406,1.08744,0.73846
13,4.0,1.4500000000000002,524,-0.20096305719325386,10.0,1.487,1.4532086,1.48345,1.375,1.6431146,1.632404327392578,1.4669934999999998,1.507848,1.5758,1.2884552,1.1777,1.5483980178833008,1.45052,1.02553
14,0.0,0.2,826,1.5916423776183963,10.0,0.885,0.82035744,0.79579,0.95,0.937217,0.8062486052513123,0.84529877,0.804572,1.0038,1.1025432,1.0749,1.0,1.26972,1.08201
15,4.0,1.2000000000000002,612,1.8591345983816325,1.0,0.956,0.8170556,0.81365,0.75,0.86031175,0.7350208163261414,0.69476676,0.779552,0.85131,0.97267777,1.0126,1.145185470581055,0.83132,0.68887
16,3.0,1.5000000000000002,335,-0.9438278779953312,1.0,1.531,1.5111495,1.49704,1.575,1.6464779,1.4651246070861816,1.5085957,1.42815,1.5817,1.548984,1.493,1.6622107028961182,1.23119,1.28589
17,0.0,0.8,989,0.4536314338122646,2.0,0.303,0.39846173,0.40579,0.35,0.2674454,0.3214530944824219,0.46583986,0.467722,0.26696,0.31870466,0.32181,0.3881936967372894,0.58171,0.59323
18,4.0,0.9500000000000001,675,0.3914419614173565,2.0,0.916,0.7979932,0.74997,1.075,1.048311,0.8050153851509094,0.87503564,0.802958,0.72294,0.969378,1.0883,1.0052417516708374,1.11625,0.87448
19,2.0,1.5000000000000002,374,1.0320013032068396,10.0,1.592,1.5268806,1.42482,1.475,1.5469053,1.384092926979065,1.5688225,1.543395,1.5411,1.5493393,1.4574,1.685032606124878,1.42863,1.44242
20,0.0,0.8500000000000001,547,0.6172935172401058,2.0,0.862,0.91089016,0.91977,0.95,0.92075676,0.8634893894195557,0.91371036,0.879706,0.98387,1.3378431,1.0969,0.8859950304031372,1.14243,0.94552
21,4.0,0.35000000000000003,63,0.09631531123727924,2.0,0.589,0.48493713,0.33894,0.3,0.58330655,0.3558909893035888,0.41102904,0.741819,0.38496,0.61452997,0.69802,0.787230908870697,0.43005,0.5999
22,2.0,1.7500000000000002,180,-0.9345753949118359,1.0,1.16,1.2256838,1.09258,1.325,1.3282349,1.1728872060775757,1.158957,1.277725,1.3048,1.0186882,1.3537,1.5577425956726074,0.99412,0.93466
23,3.0,1.9500000000000002,437,0.8517602063839738,1.0,1.863,1.8972797,1.85141,1.875,1.7855219,1.7044423818588257,1.6854272,1.571562,1.7741,1.7558687,1.6657,1.8099660873413088,1.77436,1.60347
24,4.0,1.9000000000000001,624,-0.4195501679815555,1.0,1.657,1.729872,1.74352,1.825,1.785844,1.6079812049865725,1.8054166,1.383857,0.7768,1.1021224,1.0281,1.7759507894515991,1.41049,1.02089
25,2.0,1.35,162,0.5667344100580366,2.0,1.619,1.3971988,1.06701,1.325,1.4197104,1.3179181814193726,1.4554912,1.565006,1.3573,1.3668702,1.3251,1.728682518005371,1.13177,1.29695
26,4.0,2.0,939,0.9464881317249233,2.0,1.928,1.8330045,1.90505,1.825,1.9837513,1.846789002418518,1.7334085,1.592187,1.5517,1.0857692,1.04,1.8502801656723025,1.35179,0.74994
27,4.0,1.7500000000000002,303,-1.0949135914741064,1.0,1.189,1.1491939,1.23345,1.075,1.2620726,1.127350091934204,1.1623162,1.342574,1.1209,0.9994844,0.99563,1.0,1.2288,0.61536
28,3.0,1.55,22,-1.6172881083494701,2.0,1.491,1.522369,1.46545,1.875,1.5871589,1.5731123685836792,1.5519354,1.632303,1.4353,1.2945338,1.6245,1.118377923965454,1.14372,1.56195
29,0.0,0.4,622,0.6106721489674236,10.0,0.573,0.5065394,0.51391,0.6,0.6203781,0.7281684279441833,0.76321685,0.589111,0.97154,0.6366916,0.63082,0.799841582775116,0.95334,0.87949
30,0.0,0.8,214,-1.4693391244525615,1.0,0.818,0.96042573,0.70736,1.075,1.0337355,0.6852429509162903,1.3092108,1.026545,1.2334,1.122842,1.2416,1.316006422042847,1.02602,0.68282
31,1.0,0.7000000000000001,798,0.4807007212383302,10.0,0.651,0.69228137,0.65511,0.65,0.75205284,0.6976315379142761,0.75774395,0.696951,0.83293,0.6540983,0.71096,0.7146074771881104,1.33639,1.21494
32,4.0,1.2500000000000002,135,-0.2746713631715508,10.0,1.294,1.023094,1.14861,1.175,1.3862128,1.052395224571228,1.0389389999999998,1.399961,1.0857,1.0027312,1.0607,1.1650302410125732,1.29727,0.93691
33,3.0,1.1500000000000001,700,-0.4968750508806335,10.0,1.187,1.2175478,1.19672,1.125,1.2994002,1.215624451637268,1.4269268999999998,1.439972,1.4749,1.2916342,1.1991,1.5069215297698977,1.41258,1.56628
34,0.0,1.0,194,-0.5025946590768583,1.0,0.704,0.79604137,0.79149,0.95,0.76707923,0.674220085144043,0.6091262,0.714711,0.97402,0.81600994,0.85897,1.05,0.36358,0.42252
35,1.0,0.1,922,-1.422293836146634,10.0,0.109,0.15970232,0.17096,0.1,0.16497752,0.2090682536363601,0.2416929,0.350785,0.20658,0.17103481,0.14125,0.1775896251201629,1.12583,0.00263
36,4.0,2.0,412,0.7421898934058345,2.0,1.798,1.7458092,1.85202,1.775,1.8313562,1.825757384300232,1.5772297,1.533302,1.6953,1.0528954,0.92583,1.7938809394836426,0.78527,0.6233
37,3.0,1.6500000000000001,551,-0.509451478651193,10.0,1.959,1.9119711,1.91391,1.925,1.8086693,1.809244990348816,1.8979146,1.487792,1.8239,1.9258418,1.8681,1.91050124168396,1.5,1.99621
38,2.0,0.8,236,1.2939981351619387,10.0,0.845,1.0221395,0.95002,1.225,1.2486981,0.759467363357544,0.9541457,1.196618,1.419,1.1619965,1.0275,0.9950411319732666,0.71687,1.03726
