,model,alpha,length,diff_coef,loc_error,UCL,eduN,HNU,FCI,Erasmus MC,BIT,WUST ML B,UPV-MAT,TSA,DecBayComp,TA-MSD
0,4.0,1.4000000000000001,900,1.622137051199241,1.5,1.325,1.41078,1.3989258,1.4395305,1.3453179597854614,1.057,1.1058683,1.434,1.31646,1.0007577,1.00835
1,2.0,1.1500000000000001,152,-0.33150471740379706,5.5,0.95,0.94898,0.8613628,1.1876518,1.2041059732437134,1.0532,0.9624141,1.245,0.66471,0.6530459,0.70671
2,2.0,0.4,332,1.3668460131374578,6.0,0.35,0.43321,0.47619408,0.34667587,0.2321079522371292,0.43435,1.2836272,0.448,0.66632,0.5206691,0.41764
3,0.0,0.7000000000000001,440,-1.2608471017845806,6.0,0.6,0.6525,0.80564034,0.64160657,0.7156501412391663,0.63714,0.77144986,0.441,0.74074,0.8103809000000001,0.80554
4,4.0,1.1500000000000001,39,-1.864495044028096,1.0,0.4,0.82846,0.8211897,1.1939787,0.5756064057350159,1.143,1.1162219,0.75,0.51268,0.092378974,0.40505
5,3.0,1.6,866,0.1693148524300211,5.5,1.575,1.72275,1.4125953,1.7461091,1.810638785362244,1.5538,1.7259907,1.558,1.64865,1.2869331,1.80909
6,1.0,0.7500000000000001,949,0.18615153584218305,6.0,0.55,0.70502,0.7363568,0.7067667,0.7392597198486328,1.0243,0.58047,0.765,0.8954,0.6290144,0.79781
7,2.0,1.5000000000000002,627,-0.8477012220012168,2.0,1.575,1.53788,1.573552,1.3721379,1.5345152616500854,1.7235,1.2838823,1.781,0.97535,1.3714815,1.24588
8,4.0,1.2000000000000002,342,-1.9663190297870257,5.5,1.325,0.94263,0.93002707,1.2596139,0.9285143613815308,1.2681,1.1445699,0.419,1.31686,0.57878065,0.94767
9,2.0,1.05,894,-0.34121559880298225,6.0,1.0,0.83539,0.8399888,0.98712325,1.0789663791656494,0.49836,1.0999852,1.056,0.93173,1.6150793,1.04554
10,2.0,1.9500000000000002,149,-0.4400640615497523,1.5,1.875,1.72023,1.8207812,1.7720569,1.786539077758789,1.8387,1.732444,1.734,1.52684,1.6597883999999998,1.77645
11,4.0,0.45,469,1.16524548358731,6.0,0.55,0.54887,0.5974974,0.54045296,0.4324690401554107,0.76088,0.61228025,0.549,1.00303,0.4459157,1.05021
12,2.0,1.35,835,0.515061006216506,6.0,1.325,1.32025,1.3833288,1.2956798,1.380423069000244,1.3106,1.3573883,1.248,1.507,1.4143735,1.40576
13,1.0,0.3,989,-1.8950367426392802,6.0,0.1,0.17942,0.21466377,0.33219296,0.1987022310495376,0.13185,0.32955527,0.265,1.06271,0.70227724,1.02771
