,model,alpha,length,diff_coef,loc_error,UCL,eduN,HNU,Erasmus MC,BIT,DecBayComp,TSA,UPV-MAT,TA-MSD
0,3.0,1.85,960,0.4251561376113425,4.0,1.725,1.67603,1.4897572,1.5542478561401367,1.2926,1.474317193031311,1.36168,1.557,1.4256
1,0.0,0.5,972,0.39153034173745305,4.33,0.4,0.35637,0.45284468,0.6884581446647644,0.80849,0.3034594058990478,0.89045,0.546,0.9879
2,0.0,0.2,639,0.644048862428,7.33,0.1,0.34537,0.35383093,0.2216219305992126,0.90557,0.3288621306419372,0.74815,0.21,0.98182
3,0.0,0.8500000000000001,604,-2.140629909187495,4.33,0.9,0.8592,0.88683176,0.7950840592384338,0.8039,0.7632493376731873,1.26672,0.511,0.93802
4,1.0,0.35000000000000003,831,0.37369546394617686,4.33,0.5,0.42593,0.45705256,0.5299202799797058,0.82583,0.3580077886581421,0.44363,0.506,0.88684
5,2.0,1.05,563,0.06872553201942004,4.67,1.075,0.85202,0.9303768,1.1466214656829834,1.051,1.089401364326477,1.18255,0.981,1.12051
6,0.0,0.55,656,-1.111501952359449,1.67,0.6,0.56971,0.5952896,0.5089855790138245,0.78054,0.7897785902023315,0.60032,0.582,0.98455
7,4.0,0.4,851,1.232737418986162,4.33,0.35,0.33068,0.31184208,0.2026912569999694,0.34436,0.6931653022766113,0.55238,0.218,0.76247
8,2.0,1.85,911,-0.012707608754113461,1.67,1.725,1.85074,1.8330436,1.8548390865325928,1.8544,1.7709107398986816,1.69503,1.858,1.79404
9,2.0,0.05,910,0.38821620111392247,4.67,0.1,0.13013,0.145093,0.1840002536773681,0.26505,0.1500159502029419,0.6119,0.231,0.05543
10,3.0,1.6500000000000001,866,1.90165254930034,7.33,1.875,1.67788,1.4827935,1.713174819946289,1.8577,1.85669219493866,1.829,1.795,1.89317
11,2.0,1.2000000000000002,210,-0.7684451103348255,4.67,1.275,1.1502,1.1164181,1.2363381385803225,1.253,0.9633073806762696,0.9314,0.819,1.1201
12,4.0,0.6000000000000001,646,0.7581645398410615,4.67,0.55,0.55523,0.665218,0.4232792258262634,0.6125,0.6706185340881348,0.57116,0.516,1.02182
13,4.0,1.7000000000000002,636,1.1487868576473044,7.33,1.875,1.69152,1.6931208,1.806402444839477,1.5561,1.1164082288742063,1.33171,0.815,0.90485
14,0.0,0.9000000000000001,489,-0.6114614785651921,7.0,0.9,0.86085,0.8531874,0.6480298042297363,0.62255,0.6862233877182007,0.76516,0.805,0.88729
15,0.0,0.7000000000000001,380,-1.019586496862446,7.0,0.3,0.35303,0.41268018,0.4545495510101318,0.73188,0.5545365214347839,0.80765,0.46,0.86139
16,4.0,2.0,863,-1.5430332609119555,10.0,1.925,1.95756,1.9660504,1.812856674194336,1.9642,1.717326045036316,1.21339,0.256,0.81906
