,model,alpha,length,diff_coef,loc_error,eduN,eduN_a,eduN_c,eduN_f,eduN_l,eduN_s,UCL,UCL_a,UCL_c,UCL_f,UCL_l,UCL_s,FCI,FCI_a,FCI_c,FCI_f,FCI_l,FCI_s,UPV-MAT,UPV-MAT_a,UPV-MAT_c,UPV-MAT_f,UPV-MAT_l,UPV-MAT_s,Erasmus MC,Erasmus MC_a,Erasmus MC_c,Erasmus MC_f,Erasmus MC_l,Erasmus MC_s,WUST ML A,WUST ML A_a,WUST ML A_c,WUST ML A_f,WUST ML A_l,WUST ML A_s,WUST ML B,WUST ML B_a,WUST ML B_c,WUST ML B_f,WUST ML B_l,WUST ML B_s,BIT,BIT_a,BIT_c,BIT_f,BIT_l,BIT_s,DecBayComp,DecBayComp_a,DecBayComp_c,DecBayComp_f,DecBayComp_l,DecBayComp_s,Valencian Karatekas,Valencian Karatekas_a,Valencian Karatekas_c,Valencian Karatekas_f,Valencian Karatekas_l,Valencian Karatekas_s
0,1.0,0.6500000000000001,603,-0.062072107517441466,1.0,1,0.04067,0.95932,0.0,1e-05,0.0,1,0.009,0.991,0.0,0.0,0.0,1,0.05147354,0.9483665,0.00012678749,1.5118664e-13,3.3259505e-05,1,0.04,0.96,0.0,0.0,0.0,1,0.0088043613359332,0.989577293395996,0.0009836907265707,0.0002288214018335,0.0004059611528646,1,0,1,0,0,0,0,0.4856205400538812,0.3675976766568736,0.00016542646966932287,4.8006866674986335e-05,0.14656834995290072,3,0.0,0.0,0.0,1.0,0.0,1,0.1534796930787706,0.8203156175291938,0.0058057787957702,0.0139373538857166,0.0064615567105486,4,0.079,0.019,0.215,0.34,0.348
1,4.0,1.7500000000000002,531,-1.6268039812211499,1.5,4,0.00247,2e-05,0.24443,0.0,0.75309,4,0.0014,0.0,0.0009,0.0,0.9977,4,0.0014299953,1.0503417e-05,0.004921146,2.6366692e-08,0.99363834,4,0.0,0.0,0.0,0.0,1.0,4,0.0051882755942642,0.0003606826358009,0.0026753502897918,0.0007666797609999,0.9910090565681458,4,0,0,0,0,1,2,0.04314648686681609,0.00029932383807447646,0.4792227248848758,4.638798597878438e-05,0.4772850764242549,4,0.0,0.0,0.14062,0.0,0.85938,2,0.1585767293986064,0.18057585942985,0.3366154205295288,0.0464368345950604,0.2777951560469543,0,0.314,0.292,0.07,0.258,0.066
2,2.0,1.0,198,1.0588321136505194,5.5,2,0.30352,0.00011,0.3687,0.00011,0.32756,0,1.0,0.0,0.0,0.0,0.0,0,0.40540698,0.00020582844,0.3267515,0.00047668745,0.26715907,0,0.48,0.0,0.27,0.0,0.25,0,0.4744565486907959,0.0012174503644928,0.2565089464187622,0.0015895970864221,0.2662274837493896,0,1,0,0,0,0,4,0.017094022653154874,3.5069126665186836e-05,0.03253074610360106,0.0005895766722364081,0.9497505854443424,4,0.0,0.0,0.44792,0.0,0.55208,1,0.1635296778940169,0.781529572656329,0.0184856358514591,0.021100152966156,0.0153549606320387,3,0.062,0.235,0.045,0.361,0.297
3,0.0,0.8,935,0.6924712099392588,5.5,4,0.47614,9e-05,0.01674,2e-05,0.50701,0,0.9999,0.0001,0.0,0.0,0.0,2,0.33061883,5.7296934e-06,0.4171,0.0001975135,0.2520779,4,0.16,0.0,0.12,0.0,0.72,4,0.3740704357624054,0.0009988251840695,0.0908262208104133,0.0004089366120751,0.5336955785751343,4,0,0,0,0,1,4,0.020658085867088782,0.00010668969425207188,0.001834988164273134,9.489884863672018e-06,0.9773907463895224,2,0.0,0.0,0.76042,0.0,0.23958,1,0.2635749139957296,0.3825319316285013,0.12392072432137,0.0411618876490361,0.1888105424053628,1,0.317,0.49,0.021,0.165,0.006
4,3.0,1.85,276,-1.1136921609483779,2.0,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,2.8218108e-14,8.602084e-22,3.643041e-10,1.0,2.5173165e-14,3,0.0,0.0,0.0,1.0,0.0,3,0.00017621605366,9.333895286545156e-05,0.0005715215229429,0.9989963173866272,0.0001627191377338,3,0,0,0,1,0,3,2.8840229071478148e-08,2.019816804032081e-09,4.2525588860629006e-06,0.999995704895798,1.1685269675762956e-08,2,0.0,0.0,1.0,0.0,0.0,1,0.1224480186460944,0.8450754322815712,0.012555975558081,0.0152359671470882,0.0046846063671652,0,0.462,0.211,0.108,0.153,0.066
5,1.0,0.6000000000000001,581,0.8935378771752831,1.5,1,0.04303,0.95676,0.0,0.0002,0.0,1,0.0217,0.9783,0.0,0.0,0.0,1,0.006336505,0.99366355,1.0656704e-09,3.8222677e-26,1.4380036e-10,1,0.0,1.0,0.0,0.0,0.0,1,0.0078878598287701,0.990341067314148,0.0010006197262555,0.0003512706025503,0.0004190507461316,1,0,1,0,0,0,1,0.041361124907187456,0.9585850504701338,3.841657832405633e-06,1.4118531070014986e-06,4.8571111739140415e-05,1,0.0,1.0,0.0,0.0,0.0,1,0.1161502703904833,0.8726038625431045,0.0018177840187967,0.0069066815742579,0.0025214014733574,3,0.047,0.245,0.092,0.513,0.103
6,3.0,1.1500000000000001,884,0.4077825400795818,6.0,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,1.875279e-15,3.4127042e-22,1.05312536e-10,1.0,5.45363e-15,3,0.0,0.0,0.0,1.0,0.0,3,2.6129805519303773e-06,1.0189678505412305e-05,0.0004086728731635,0.9993599057197572,0.0002187462087022,3,0,0,0,1,0,3,4.3578532695305124e-07,2.3405219574666033e-08,0.0014447056906066711,0.9985546446380968,1.9048074994365e-07,3,0.0,0.0,0.0,1.0,0.0,1,0.1955210016669525,0.6383601797182475,0.062932506018357,0.042844726518712,0.0603415860777308,2,0.01,0.059,0.452,0.113,0.366
7,3.0,1.5000000000000002,239,-0.17778169060114526,1.0,3,5e-05,0.0,0.0094,0.9901,0.00045,3,0.0,0.0,0.0118,0.9881,0.0,3,2.0039044e-05,1.13703776e-10,0.00070143264,0.99923944,3.9050326e-05,3,0.0,0.0,0.03,0.97,0.0,3,0.000167906837305,9.21155369724147e-05,0.0007255090167745,0.9988621473312378,0.0001523246755823,3,0,0,0,1,0,3,1.6456946386840168e-05,3.754495470273412e-07,0.004189640597206821,0.9957854006984661,8.126308393073722e-06,2,0.0,0.0,1.0,0.0,0.0,1,0.1530160074938867,0.7914221841325134,0.0218174576742532,0.0211042398290717,0.012640110870275,3,0.194,0.039,0.301,0.396,0.07
8,1.0,0.5,690,-1.475188910923912,6.0,1,0.00106,0.99893,0.0,1e-05,0.0,1,0.0001,0.9999,0.0,0.0,0.0,1,0.0042272755,0.99577266,1.5993721e-13,1.0342668e-31,4.391867e-13,1,0.0,1.0,0.0,0.0,0.0,1,0.008142439648509,0.9901026487350464,0.0010525996331125,0.0003221787046641,0.0003800250124186,1,0,1,0,0,0,1,0.003763058410792911,0.9960409203858717,1.5113981946545816e-06,3.5333620068779792e-06,0.00019097644313390968,3,0.0,0.0,0.0,1.0,0.0,1,0.1048182780112599,0.8856888157773055,0.0015733280693693,0.0059937871945367,0.0019257909475285,2,0.135,0.179,0.332,0.025,0.329
9,3.0,1.3,485,0.9515149786304218,2.0,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,1.723456e-13,7.329717999999999e-20,3.6315817e-09,1.0,5.3497034e-13,3,0.0,0.0,0.0,1.0,0.0,3,2.6230784442304862e-06,1.025990059133619e-05,0.000412366061937,0.9993584752082824,0.0002163360186386,3,0,0,0,1,0,3,5.8163772496133246e-06,3.5461378600256497e-07,0.0022858363334977345,0.9977047929569278,3.199718538621996e-06,2,0.0,0.0,1.0,0.0,0.0,4,0.2586710814588506,0.0798884661563692,0.2149310671614432,0.1145640080264825,0.3319453771968543,3,0.018,0.322,0.041,0.488,0.13
