,model,alpha,length,diff_coef,loc_error,UCL,UCL_a,UCL_c,UCL_f,UCL_l,UCL_s,eduN,eduN_a,eduN_c,eduN_f,eduN_l,eduN_s,UPV-MAT,UPV-MAT_a,UPV-MAT_c,UPV-MAT_f,UPV-MAT_l,UPV-MAT_s,Erasmus MC,Erasmus MC_a,Erasmus MC_c,Erasmus MC_f,Erasmus MC_l,Erasmus MC_s,WUST ML A,WUST ML A_a,WUST ML A_c,WUST ML A_f,WUST ML A_l,WUST ML A_s,WUST ML B,WUST ML B_a,WUST ML B_c,WUST ML B_f,WUST ML B_l,WUST ML B_s,BIT,BIT_a,BIT_c,BIT_f,BIT_l,BIT_s
0,2.0,1.05,921,1.1739062552737956,1.67,2,0.0014,0.0,0.8232,0.0,0.1754,4,0.22801,5e-05,0.29979,1e-05,0.47214,2,0.01,0.0,0.6,0.0,0.39,2,0.0046472325921058,0.0001572585315443,0.6731303334236145,0.0039255181327462,0.3181396424770355,4,0,0,0,0,1,4,0.015581838917158815,0.00016884413621602205,0.06757200752778217,0.0005699725415835534,0.9161073368772593,1,0.0,0.91667,0.083333,0.0,0.0
1,0.0,1.0,553,-0.3279643628845634,4.0,0,0.9973,0.0027,0.0,0.0,0.0,0,0.84957,0.15035,2e-05,1e-05,4e-05,0,0.99,0.0,0.0,0.0,0.01,0,0.926301658153534,0.002343853469938,0.0061195576563477,0.0005250341491773,0.0647098869085311,0,1,0,0,0,0,0,0.9807409218530608,0.0003176987954392533,0.0005518252459484963,0.00010089348113491197,0.018288660624416433,1,0.0,1.0,0.0,0.0,0.0
2,3.0,1.9500000000000002,305,0.7111257767179073,4.0,3,0.0,0.0,0.0001,0.9999,0.0,3,7e-05,0.0,0.24135,0.75854,4e-05,3,0.0,0.0,0.02,0.98,0.0,3,0.0010915622115135,0.0007183439447544,0.4850862324237823,0.4972143173217773,0.0158895906060934,3,0,0,0,1,0,2,0.018073408156769086,0.0009424191146648685,0.6159355201526855,0.3253441215134856,0.039704531062395035,3,0.0,0.0,0.0,1.0,0.0
3,1.0,0.7000000000000001,17,-0.663319315078188,4.33,1,0.0276,0.9724,0.0,0.0,0.0,1,0.09319,0.86961,0.00127,0.0343,0.00163,1,0.17,0.82,0.0,0.0,0.01,1,0.006105528678745,0.9931164979934692,0.0007341859745793,3.53102109329484e-06,4.030466880067252e-05,3,0,0,0,1,0,1,0.07971520472495865,0.9194039172134929,0.0003763649407633017,8.796864327578204e-05,0.00041654447750931,1,0.0,1.0,0.0,0.0,0.0
4,0.0,0.55,424,0.16044916153898933,1.33,0,0.9997,0.0003,0.0,0.0,0.0,0,0.99712,0.00015,0.00012,0.0,0.00261,0,0.98,0.02,0.0,0.0,0.0,0,0.992569386959076,0.0044593843631446,0.0012698830105364,7.518481288570911e-05,0.0016261625569313,0,1,0,0,0,0,4,0.2500199611783649,0.0029496110085804176,0.013518594445252354,0.004517505424143963,0.7289943279436586,4,0.0,0.0,0.0,0.0,1.0
5,3.0,1.9500000000000002,385,1.3373188180500681,4.33,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.09,0.91,0.0,3,8.046731090871617e-05,0.0001117533756769,0.0008818362839519,0.9988490343093872,7.692917279200628e-05,3,0,0,0,1,0,2,0.0005004880137689939,4.3213763071260965e-05,0.8288340853434047,0.16984765381342667,0.0007745590663283018,3,0.0,0.0,0.0,1.0,0.0
6,4.0,0.4,275,-0.672625449917498,4.0,4,0.0,0.0,0.0,0.0,1.0,4,0.02141,0.0,3e-05,1e-05,0.97855,4,0.0,0.0,0.0,0.0,1.0,4,0.0034298272803425,0.0001756830897647,0.0046632434241473,0.0004081232473254,0.9913231134414672,4,0,0,0,0,1,4,0.295456926892518,0.0016381929699910648,0.002950636245720768,0.029870709053190662,0.6700835348385795,0,0.66667,0.0,0.0,0.0,0.33333
7,0.0,1.0,935,1.9144720292204953,7.0,0,1.0,0.0,0.0,0.0,0.0,0,0.9968,0.00308,2e-05,0.0,0.0001,0,1.0,0.0,0.0,0.0,0.0,0,0.9942145943641664,0.0023170376662164,0.001172334770672,7.245090091601014e-05,0.0022235426586121,0,1,0,0,0,0,0,0.588835371183792,0.00011096595607626576,0.07770891495561126,0.003253689721372851,0.33009105818314766,3,0.0,0.0,0.0,1.0,0.0
8,1.0,0.2,535,-0.003308762672119809,7.33,1,0.0019,0.9981,0.0,0.0,0.0,1,0.19313,0.80631,0.0,0.00055,1e-05,1,0.35,0.65,0.0,0.0,0.0,1,0.0426283068954944,0.955941677093506,0.0007239084807224,0.0003088938246946,0.0003972718259319,1,0,1,0,0,0,1,0.004972640446449285,0.9950183654611376,4.672967542075051e-06,2.4860423095766567e-06,1.8350825618181584e-06,0,1.0,0.0,0.0,0.0,0.0
9,3.0,1.0,610,0.551072038750695,4.0,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,7.940786599647254e-05,0.000110807683086,0.0008839082438498,0.9988497495651244,7.615540380356833e-05,3,0,0,0,1,0,3,6.218375802558704e-05,1.0657659405742715e-05,0.009976962514132704,0.989740082250725,0.0002101138177109412,3,0.0,0.0,0.0,1.0,0.0
10,0.0,0.3,970,0.6730875785991559,1.67,0,0.61,0.39,0.0,0.0,0.0,1,0.42764,0.57054,4e-05,0.00166,0.00012,0,1.0,0.0,0.0,0.0,0.0,1,0.09760183095932,0.901005208492279,0.0006735422066412,0.0003385883464943,0.0003808724868576,0,1,0,0,0,0,1,0.0072061452945112415,0.9927651899182275,5.640715794383971e-06,3.07571140660536e-06,1.9948360060367968e-05,1,0.0,1.0,0.0,0.0,0.0
11,1.0,0.4,194,-0.24948695614047087,1.67,1,0.111,0.889,0.0,0.0,0.0,1,0.30411,0.67496,0.01898,0.00183,0.00012,0,0.67,0.33,0.0,0.0,0.0,1,0.0675880759954452,0.9310495853424072,0.0006075074197724,0.0003589536063373,0.0003958045272156,0,1,0,0,0,0,1,0.03989402451669712,0.9600305253188816,1.8066937472912087e-05,7.419267564080611e-06,4.996395938444037e-05,1,0.0,1.0,0.0,0.0,0.0
12,0.0,0.3,448,2.8022088455642207,4.33,0,1.0,0.0,0.0,0.0,0.0,0,0.99996,1e-05,1e-05,1e-05,1e-05,0,1.0,0.0,0.0,0.0,0.0,0,0.9942345023155212,0.00232943915762,0.0011579620186239,7.187447772594169e-05,0.0022062514908611,0,1,0,0,0,0,0,0.8378962799967785,0.04452545787955477,9.946368799065489e-05,3.824020568383744e-05,0.11744055822999204,3,0.0,0.0,0.0,1.0,0.0
13,2.0,1.8,335,-0.6736046673588469,4.0,2,0.0,0.0,1.0,0.0,0.0,2,0.00053,0.0,0.99844,0.00042,0.00061,2,0.0,0.0,1.0,0.0,0.0,2,0.0009527446818538,0.0025323831941932,0.991483747959137,0.0015783237759023,0.003452836535871,2,0,0,1,0,0,2,0.00018858938518488073,1.4524115687400311e-05,0.8167898361554333,0.18278141897783545,0.0002256313658589007,2,0.0,0.0,1.0,0.0,0.0
14,1.0,0.2,357,-1.6754696003025138,2.0,1,0.0471,0.9529,0.0,0.0,0.0,1,0.31439,0.68428,1e-05,0.00131,1e-05,0,0.6,0.4,0.0,0.0,0.0,1,0.2699311077594757,0.7282739877700806,0.0011809372808784,0.0001227066823048,0.0004912524018436,1,0,1,0,0,0,1,0.04822324116684307,0.9517538859013032,7.704206826429806e-06,6.807181884853631e-07,1.44880068387342e-05,1,0.0,1.0,0.0,0.0,0.0
15,2.0,0.55,988,-0.9362894914501871,4.0,2,0.0,0.0,0.9998,0.0,0.0002,2,0.00011,1e-05,0.99979,0.0,9e-05,2,0.0,0.0,0.99,0.0,0.01,2,0.0038410183042287,0.3919110894203186,0.5978490114212036,0.0005473747733049,0.005851530469954,2,0,0,1,0,0,2,0.000489093526361236,7.139400554046961e-05,0.9985087964114336,8.080788017566678e-06,0.0009226352686466605,2,0.0,0.0,1.0,0.0,0.0
16,3.0,1.4000000000000001,700,-1.533684956749205,4.33,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,7.882203499320894e-05,0.000110392436909,0.0008841680828481,0.99885094165802,7.572241884190589e-05,3,0,0,0,1,0,3,3.292934053295151e-06,4.6496170310361843e-07,0.0004361678267045262,0.999540539949104,1.9534328434994272e-05,3,0.0,0.0,0.0,1.0,0.0
17,1.0,0.3,28,-0.23296334114692152,1.67,0,0.5068,0.4932,0.0,0.0,0.0,1,0.31436,0.5208,0.00012,0.16447,0.00026,1,0.16,0.84,0.0,0.0,0.0,1,0.0146867083385586,0.9847954511642456,0.0004452383145689,1.4328973065858008e-06,7.117228960851207e-05,1,0,1,0,0,0,1,0.37494829146986214,0.6244163995915214,0.00016458670413385088,2.42147943837978e-05,0.0004465074400986862,3,0.0,0.0,0.0,1.0,0.0
18,2.0,0.9000000000000001,281,-1.7018271918992052,1.0,2,0.0326,0.0,0.812,0.0,0.1555,2,0.16553,0.00014,0.55946,0.00021,0.27466,2,0.08,0.0,0.74,0.0,0.18,2,0.0081531247124075,0.0008893252816051,0.9271296858787536,0.0006850252975709,0.0631429180502891,2,0,0,1,0,0,4,0.12121474568662692,0.0010224996989065148,0.036484857611327776,0.0012512274619514404,0.8400266695411873,2,0.0,0.041667,0.90104,0.0,0.057292
19,1.0,0.45,931,0.061102396514762805,1.67,1,0.0129,0.9871,0.0,0.0,0.0,1,6e-05,0.99807,0.00178,8e-05,0.0,1,0.01,0.9,0.09,0.0,0.0,1,0.0034886742942035,0.9189128279685974,0.0738635882735252,0.0020607179030776,0.0016741866711527,1,0,1,0,0,0,1,2.1484867620788316e-06,0.9929730411210342,0.007015802371258942,5.97910156685368e-07,8.410110788278038e-06,1,0.48958,0.51042,0.0,0.0,0.0
20,0.0,0.7000000000000001,221,-0.8014025056572126,2.0,0,1.0,0.0,0.0,0.0,0.0,0,0.9992,0.00051,1e-05,0.0,0.00028,0,1.0,0.0,0.0,0.0,0.0,0,0.9942020773887634,0.0023581127170473,0.0011523787397891,7.107070268830284e-05,0.0022163428366184,0,1,0,0,0,0,0,0.8631423496625976,0.039906059609874846,0.000938879937931024,0.0005582652082544916,0.09545444558134225,0,1.0,0.0,0.0,0.0,0.0
21,3.0,1.6,176,1.1536701608510278,7.0,3,0.0,0.0,0.0001,0.9999,0.0,3,0.0,0.0,5e-05,0.99995,0.0,3,0.0,0.0,0.0,1.0,0.0,3,7.776772690704092e-05,0.0001096938212867,0.0009374721557833,0.9987956285476683,7.938933413242921e-05,3,0,0,0,1,0,3,3.1383410117239187e-06,8.543931948530158e-07,0.0003909624799255864,0.9995891660747459,1.5878711121890997e-05,3,0.0,0.0,0.0,1.0,0.0
22,0.0,0.9000000000000001,249,-1.4835101330017617,4.33,0,1.0,0.0,0.0,0.0,0.0,0,0.83156,0.00107,0.00505,1e-05,0.16231,0,0.98,0.01,0.0,0.0,0.01,0,0.9938312768936156,0.0023365260567516,0.001294998684898,7.514239405281842e-05,0.0024620203766971,4,0,0,0,0,1,4,0.1605384341242325,0.00011747605773834875,0.04032837251186273,0.02663167394530549,0.772384043360861,1,0.0,1.0,0.0,0.0,0.0
