,model1,model2,alpha1,alpha2,change_point,eduN_cp,eduN_m1,eduN_a1,eduN_m2,eduN_a2,FCI_cp,FCI_m1,FCI_a1,FCI_m2,FCI_a2,BIT_cp,BIT_m1,BIT_a1,BIT_m2,BIT_a2
0,4.0,3.0,0.65,1.95,64.0,64.87289,0.0,0.6745800000000001,3.0,1.66107,64.0,2.0,0.8858214020729065,3.0,1.7284252643585205,64.0,2.0,0.8576,3.0,1.8248
1,1.0,1.0,0.85,1.0,143.0,163.16693999999998,1.0,0.63455,1.0,0.7105600000000001,167.0,1.0,0.6843905448913574,1.0,0.8876149654388428,57.0,0.0,0.21149,1.0,0.89074
2,4.0,0.0,0.4,0.6,181.0,181.8805,4.0,0.20469,1.0,0.6552399999999999,181.0,4.0,0.2925267219543457,2.0,1.1117067337036133,181.0,4.0,0.29436999999999997,0.0,0.80595
3,1.0,1.0,0.95,0.05,146.0,148.30026999999998,1.0,0.84788,1.0,0.48771000000000003,147.0,1.0,0.9501929283142091,2.0,0.6129098534584045,146.0,1.0,0.93689,0.0,0.2426
4,4.0,3.0,1.0,1.8,177.0,175.58226000000002,2.0,0.85267,1.0,0.72911,177.0,2.0,1.1216986179351809,3.0,1.7716560363769531,177.0,4.0,0.8297100000000001,2.0,1.9628
5,1.0,1.0,0.7,0.3,155.0,153.66406,1.0,0.63385,1.0,0.36963,155.0,0.0,0.7597756385803223,1.0,0.6438055038452148,155.0,0.0,0.4652,2.0,0.17488
6,2.0,0.0,1.9,1.0,174.0,171.35543,2.0,1.7794,1.0,0.82739,174.0,2.0,1.6945403814315796,1.0,0.7233059406280518,174.0,2.0,1.7411,1.0,0.24931999999999999
7,1.0,3.0,0.7,1.6,173.0,175.14639,1.0,0.39676,3.0,1.43014,173.0,1.0,0.4389379024505615,3.0,1.593369722366333,173.0,0.0,0.56267,3.0,1.6130000000000002
8,1.0,4.0,0.5,1.65,28.0,29.39757,1.0,0.5278,2.0,0.54098,28.0,1.0,0.4397386014461517,2.0,0.7579609155654907,28.0,0.0,0.7365,2.0,0.50873
9,0.0,2.0,0.7,0.25,129.0,118.28123000000001,0.0,0.5764600000000001,0.0,0.48666000000000004,129.0,4.0,0.6643950343132019,2.0,0.6825963258743286,55.0,2.0,0.76188,0.0,0.4958
10,3.0,3.0,1.4,1.8,61.0,62.07734,3.0,1.46536,3.0,1.58239,60.0,3.0,1.4286108016967771,3.0,1.6119474172592163,60.0,3.0,1.2952,3.0,1.6481
11,2.0,2.0,1.45,1.95,165.0,164.55785,2.0,1.4617200000000001,2.0,1.45331,165.0,2.0,1.3457331657409668,2.0,1.6557180881500244,165.0,2.0,1.3309,2.0,1.7913
12,1.0,0.0,0.75,0.75,111.0,108.30332,1.0,0.6578,4.0,0.93527,107.0,1.0,0.7526652216911316,2.0,0.9544715881347656,69.0,1.0,0.65295,0.0,0.5844199999999999
13,1.0,4.0,0.25,0.5,154.0,133.1816,1.0,0.36477,4.0,0.67974,151.0,1.0,0.39754918217659,4.0,1.1275007724761963,132.0,0.0,0.46135,2.0,0.8520399999999999
14,2.0,4.0,1.25,1.55,92.0,90.92849,2.0,1.08679,4.0,0.67852,92.0,2.0,1.2767189741134644,4.0,1.4262707233428955,92.0,2.0,1.1673,4.0,1.5649
15,2.0,1.0,1.3,0.35,101.0,104.10606,2.0,1.63923,1.0,0.49211000000000005,103.0,2.0,1.5786899328231812,1.0,0.5247054100036621,103.0,2.0,1.5756,1.0,0.29609
16,2.0,3.0,0.9,1.8,2.0,183.89461,3.0,1.55576,3.0,1.43505,183.0,3.0,1.6063239574432373,3.0,1.4628281593322754,22.0,2.0,1.7725,2.0,1.6405
17,3.0,4.0,1.9,0.85,121.0,120.77913999999998,3.0,1.59988,4.0,0.91586,121.0,3.0,1.5397280454635618,4.0,0.8863012790679932,121.0,3.0,1.733,4.0,0.62683
18,2.0,4.0,0.3,0.9,109.0,130.32918,2.0,0.79257,4.0,0.80185,100.0,2.0,1.0482351779937744,2.0,1.0482351779937744,107.0,4.0,0.69529,2.0,0.7904100000000001
19,3.0,0.0,1.3,0.4,135.0,134.68094,3.0,1.62601,0.0,1.07324,135.0,3.0,1.4463897943496704,4.0,1.3784914016723633,135.0,3.0,1.5130000000000001,4.0,1.2024
20,4.0,4.0,1.2,0.5,76.0,75.27327,2.0,0.5296,4.0,0.8668799999999999,76.0,2.0,0.7750484943389893,2.0,1.159782648086548,76.0,2.0,0.65968,4.0,0.8943399999999999
21,0.0,4.0,0.55,0.9,165.0,165.17403000000002,2.0,0.7852600000000001,4.0,0.95965,165.0,2.0,0.9720387458801271,2.0,1.1500093936920166,165.0,0.0,0.87539,1.0,0.8811899999999999
22,4.0,4.0,1.1,0.9,73.0,92.28896,2.0,1.06175,2.0,0.45685,85.0,4.0,1.3189408779144287,2.0,0.7425730228424072,85.0,2.0,1.2512,2.0,0.55501
23,4.0,2.0,2.0,0.25,155.0,155.56169,4.0,1.28945,2.0,0.45686000000000004,155.0,2.0,1.5943769216537476,2.0,0.6353493332862854,156.0,4.0,1.2512,2.0,0.49578
24,4.0,4.0,0.05,1.0,156.0,155.66076999999999,4.0,0.22353,4.0,0.79623,156.0,4.0,0.287711501121521,4.0,0.7422672510147095,156.0,4.0,0.22061,0.0,0.57001
25,0.0,4.0,0.1,0.1,97.0,97.14827,2.0,0.50878,4.0,0.80704,97.0,2.0,1.0843958854675293,2.0,0.7299704551696777,97.0,1.0,0.71311,1.0,0.6927
26,3.0,0.0,1.6,0.1,170.0,169.78035,3.0,1.37469,4.0,1.11515,170.0,3.0,1.3742740154266355,4.0,1.3242037296295166,170.0,2.0,1.5972,2.0,1.2219
27,4.0,4.0,1.5,0.55,94.0,95.88747,2.0,0.7723800000000001,2.0,1.1936799999999999,96.0,4.0,1.487415075302124,2.0,1.25444495677948,96.0,4.0,0.87675,2.0,1.2264
28,3.0,2.0,1.4,1.25,46.0,46.733909999999995,4.0,0.9419200000000001,4.0,1.0681,46.0,3.0,1.0416128635406494,4.0,1.1864062547683716,46.0,2.0,0.99608,4.0,1.0848
29,4.0,4.0,1.0,1.3,58.0,57.76651,4.0,1.0760100000000001,4.0,0.77804,58.0,4.0,1.3306148052215576,4.0,1.070465922355652,58.0,2.0,1.0170000000000001,0.0,0.9014
30,2.0,4.0,1.05,1.1,43.0,36.462540000000004,0.0,1.01745,4.0,0.72048,44.0,4.0,1.3608155250549316,4.0,1.0964717864990234,44.0,2.0,1.1717,2.0,0.8932899999999999
31,4.0,1.0,1.7,0.55,61.0,68.386,4.0,1.42164,1.0,0.56245,100.0,0.0,0.7758787274360657,0.0,0.7758787274360657,82.0,4.0,1.489,0.0,0.47131000000000006
32,4.0,3.0,0.65,1.8,149.0,150.90335,2.0,0.82321,3.0,1.7014200000000002,149.0,2.0,0.8653544783592224,3.0,1.6882014274597168,150.0,4.0,0.92435,3.0,1.7789
