,model1,model2,alpha1,alpha2,change_point,eduN_cp,eduN_m1,eduN_a1,eduN_m2,eduN_a2,BIT_cp,BIT_m1,BIT_a1,BIT_m2,BIT_a2
0,3.0,1.0,1.05,1.0,144.0,135.45188000000002,2.0,1.34191,1.0,0.75553,144.0,2.0,1.4744,4.0,1.9414
1,3.0,2.0,1.55,1.65,17.0,75.70418000000001,2.0,1.02654,2.0,1.31867,197.0,2.0,1.6127,2.0,0.74079
2,0.0,3.0,0.25,1.0,133.0,125.3055,0.0,0.91196,2.0,1.42629,133.0,3.0,0.9905299999999999,2.0,1.8086
3,1.0,4.0,0.65,0.75,67.0,68.61027,0.0,0.42321000000000003,4.0,0.9339700000000001,67.0,0.0,0.61756,2.0,1.1658
4,1.0,1.0,0.5,0.6,99.0,97.62947,1.0,0.72516,1.0,0.4083,99.0,1.0,0.65679,1.0,0.20611
5,1.0,3.0,0.15,2.0,23.0,25.03582,3.0,0.7613,3.0,1.89366,23.0,1.0,0.34617,2.0,2.0
6,0.0,0.0,0.55,0.4,157.0,157.43004,1.0,0.34121,4.0,0.966,157.0,0.0,0.41862,1.0,0.9417399999999999
7,3.0,3.0,1.7,2.0,21.0,25.13045,3.0,0.97164,3.0,1.7581099999999998,42.0,2.0,1.8796,2.0,1.9983
8,1.0,1.0,0.45,0.05,169.0,116.09366000000001,1.0,0.6978,1.0,0.5270600000000001,169.0,0.0,0.35555,1.0,0.2191
9,3.0,2.0,1.05,0.3,45.0,37.153009999999995,2.0,0.8165899999999999,2.0,0.51898,45.0,2.0,1.0466,2.0,0.33976999999999996
10,2.0,4.0,1.55,1.85,94.0,88.5722,2.0,1.18095,4.0,0.8915799999999999,94.0,2.0,1.4251,2.0,1.0769
11,3.0,2.0,1.8,1.05,120.0,116.42016000000001,3.0,1.72885,4.0,0.91959,120.0,2.0,1.7666,2.0,1.0841
12,2.0,3.0,1.1,1.85,57.0,40.450959999999995,2.0,1.18028,2.0,1.32366,57.0,2.0,0.94778,2.0,1.6026
13,1.0,3.0,0.7,1.25,9.0,69.61726999999999,2.0,0.87425,3.0,1.26179,8.0,1.0,0.69816,2.0,1.4286
14,3.0,1.0,1.0,0.1,143.0,138.29362,3.0,1.3280299999999998,1.0,0.42096999999999996,143.0,3.0,1.3818,1.0,0.23444
15,0.0,1.0,0.45,0.15,73.0,65.6547,0.0,0.9313899999999999,1.0,0.39748,73.0,1.0,0.99871,0.0,0.15525
16,2.0,1.0,1.05,0.8,20.0,16.498,4.0,0.9193,1.0,0.76665,146.0,3.0,0.99749,1.0,0.32828
17,0.0,4.0,0.35,0.65,116.0,130.21878,4.0,0.8688299999999999,4.0,0.73355,115.0,4.0,0.97887,4.0,0.9442299999999999
18,0.0,1.0,0.1,0.5,179.0,177.30399,0.0,0.5775899999999999,1.0,0.71163,187.0,1.0,0.53423,1.0,0.6613600000000001
19,3.0,3.0,1.55,1.35,126.0,127.46909,2.0,1.45287,2.0,1.38134,126.0,2.0,1.5287,2.0,1.8152
20,0.0,2.0,1.0,0.8,21.0,13.35154,4.0,0.9325200000000001,2.0,0.6625,14.0,0.0,0.8566,2.0,0.8546
21,4.0,0.0,0.6,0.4,7.0,95.71041,0.0,0.79555,0.0,0.65904,7.0,0.0,0.73707,0.0,0.3989
22,0.0,3.0,1.0,1.35,126.0,126.53643000000001,1.0,0.42415,4.0,1.1032,126.0,0.0,0.37105,2.0,1.3159999999999998
23,2.0,1.0,1.0,0.1,195.0,195.84796,2.0,0.85544,1.0,0.7623300000000001,195.0,4.0,0.98755,1.0,0.44833
24,2.0,3.0,1.25,1.25,88.0,67.69841,2.0,1.2880200000000002,2.0,1.33677,88.0,2.0,1.4518,2.0,1.494
25,0.0,1.0,0.5,0.85,102.0,101.27507,0.0,0.70649,1.0,0.3722,102.0,3.0,0.6997,0.0,0.17647000000000002
26,0.0,1.0,0.8,0.75,95.0,91.89623,0.0,0.5534,1.0,0.5310199999999999,94.0,4.0,0.27413000000000004,0.0,0.28345
27,2.0,4.0,0.05,0.4,87.0,81.02333,2.0,0.33626999999999996,2.0,0.73636,86.0,1.0,0.31214000000000003,2.0,0.95819
28,2.0,1.0,0.05,0.5,56.0,56.72543,1.0,0.44772,1.0,0.47996000000000005,171.0,3.0,-0.016728,1.0,0.62989
29,1.0,0.0,0.05,0.45,190.0,191.73102,1.0,0.27246,1.0,0.66289,190.0,0.0,0.15018,4.0,0.8134899999999999
30,3.0,1.0,1.45,0.85,195.0,69.24528000000001,2.0,1.42572,2.0,1.20771,195.0,3.0,1.6252,1.0,0.55013
31,2.0,4.0,0.4,0.75,123.0,144.44914,2.0,0.61907,4.0,0.9687,123.0,1.0,0.59133,4.0,0.8739600000000001
32,2.0,3.0,0.7,1.4,107.0,117.21203,2.0,0.70485,3.0,1.25051,114.0,2.0,0.79086,2.0,1.472
33,4.0,0.0,1.6,0.65,170.0,171.79195,4.0,1.43884,1.0,0.62366,169.0,4.0,1.5595,1.0,0.26841
34,2.0,0.0,1.25,0.2,65.0,63.575019999999995,2.0,1.4107399999999999,2.0,0.45742,65.0,2.0,1.5054,2.0,0.8201799999999999
35,4.0,2.0,1.35,1.3,130.0,90.56571,4.0,1.21161,2.0,1.1015,130.0,4.0,1.1973,2.0,1.3678
36,1.0,3.0,0.55,1.05,67.0,66.95323,1.0,0.59811,2.0,1.46535,67.0,3.0,0.5017,2.0,1.6901
37,3.0,0.0,1.95,0.6,114.0,115.49099,2.0,1.39858,0.0,0.54164,114.0,3.0,0.61626,3.0,0.61626
38,2.0,1.0,0.5,0.2,46.0,47.4805,2.0,0.57139,1.0,0.36119,46.0,1.0,0.31765,1.0,0.1685
39,1.0,0.0,0.75,0.85,28.0,35.63507,1.0,0.49373,4.0,0.69848,32.0,0.0,0.48244,4.0,0.7485
40,1.0,3.0,0.55,1.35,134.0,136.71313999999998,1.0,0.5534600000000001,2.0,1.22404,51.0,1.0,0.76223,4.0,1.9763
41,0.0,2.0,0.2,0.9,84.0,84.40106,0.0,0.59248,4.0,0.8692,84.0,0.0,0.45715,4.0,1.0396
42,1.0,3.0,0.6,2.0,108.0,109.28001,3.0,0.7526,3.0,1.9002599999999998,109.0,3.0,0.45,3.0,1.99
43,1.0,2.0,1.0,1.45,99.0,107.51428999999999,1.0,1.01105,2.0,1.4639,98.0,4.0,0.99455,2.0,1.531
44,0.0,3.0,0.45,1.65,128.0,127.42931000000002,1.0,0.43351000000000006,2.0,1.43559,128.0,1.0,0.41238,2.0,1.6417
45,2.0,3.0,1.4,1.95,96.0,99.03419,2.0,1.14996,3.0,1.77562,96.0,2.0,1.2327,2.0,1.9433
46,4.0,4.0,1.8,1.25,91.0,69.52423,4.0,1.3352,4.0,0.76507,91.0,4.0,1.7607,1.0,0.53157
47,2.0,1.0,0.85,0.9,165.0,166.45313000000002,2.0,0.97031,1.0,0.5723,164.0,2.0,1.0324,0.0,0.6065
48,1.0,2.0,0.7,1.8,183.0,184.66738999999998,1.0,0.29891,4.0,1.00492,2.0,2.0,0.74182,1.0,0.54992
49,1.0,0.0,0.85,1.0,146.0,168.37133,1.0,0.7754800000000001,1.0,0.56601,103.0,1.0,0.8500200000000001,4.0,0.6766800000000001
50,3.0,0.0,1.95,0.5,77.0,74.62824,2.0,1.55101,0.0,0.55412,107.0,3.0,1.3113,4.0,0.060824
51,1.0,4.0,0.1,1.3,88.0,88.75157,1.0,0.37573,4.0,1.07877,88.0,0.0,0.18654,2.0,1.0391
52,1.0,4.0,0.75,0.85,198.0,176.10776,1.0,0.68424,1.0,0.7330300000000001,93.0,1.0,0.8789100000000001,4.0,1.9088
53,4.0,3.0,1.75,1.85,80.0,82.20156,4.0,1.00376,3.0,1.70205,80.0,4.0,1.5984,2.0,1.9197
54,2.0,3.0,0.45,1.25,39.0,65.59715,0.0,1.10402,3.0,1.60084,39.0,3.0,1.6152,3.0,1.6152
55,2.0,0.0,1.85,0.5,44.0,41.94396,2.0,1.29219,1.0,0.7376,52.0,2.0,1.6803,0.0,0.37044
56,3.0,2.0,1.35,1.2,63.0,43.37856,3.0,1.39324,2.0,1.12055,62.0,2.0,1.6062,2.0,1.2721
57,2.0,2.0,0.65,1.8,20.0,16.321460000000002,2.0,0.82878,2.0,1.6443599999999998,20.0,2.0,0.66911,2.0,1.7734
58,4.0,4.0,2.0,1.0,78.0,110.0276,4.0,1.4063,0.0,0.9233299999999999,78.0,4.0,1.5730000000000002,2.0,1.0402
59,1.0,3.0,0.7,1.05,167.0,168.25993,1.0,0.77561,2.0,1.16708,167.0,3.0,0.94605,2.0,1.6469999999999998
60,2.0,1.0,1.35,0.6,9.0,113.12807,1.0,0.69238,1.0,0.49311000000000005,9.0,4.0,0.73761,0.0,0.48508
61,3.0,3.0,1.4,1.2,188.0,109.54553999999999,2.0,1.52387,2.0,1.07342,189.0,3.0,1.4468,0.0,0.95076
62,4.0,0.0,0.4,0.35,40.0,34.290409999999994,0.0,0.7121,2.0,0.5843,40.0,4.0,0.89915,4.0,1.1948
63,1.0,0.0,0.8,0.35,45.0,56.16713000000001,0.0,0.8368899999999999,0.0,0.51736,45.0,0.0,0.81902,0.0,0.4525
64,0.0,0.0,0.25,0.1,57.0,41.66343,0.0,0.52347,4.0,0.87125,57.0,0.0,0.36012,2.0,1.2204
65,1.0,2.0,0.1,1.25,89.0,90.41386,1.0,0.34107,2.0,1.04318,89.0,1.0,0.17887,2.0,1.3617
66,1.0,2.0,0.9,1.8,197.0,134.00486,1.0,0.64731,1.0,0.98085,4.0,1.0,0.5464899999999999,0.0,0.16180999999999998
67,3.0,2.0,1.25,1.85,83.0,71.16458,2.0,1.3150600000000001,2.0,1.47953,83.0,2.0,1.3801,2.0,1.8982
68,4.0,1.0,1.35,0.7,114.0,114.55095,4.0,1.24013,1.0,0.53866,115.0,3.0,0.88681,1.0,0.45808999999999994
69,1.0,0.0,0.55,0.45,72.0,68.66905,1.0,0.67137,1.0,0.39119,72.0,3.0,0.83535,0.0,0.14398
70,3.0,2.0,1.65,1.2,112.0,133.50957,3.0,1.48745,2.0,1.05969,111.0,3.0,1.4034,1.0,0.7368600000000001
71,0.0,3.0,0.85,1.05,121.0,109.92113,0.0,0.6815399999999999,4.0,1.00906,121.0,4.0,0.68566,2.0,1.0988
72,4.0,1.0,0.6,0.35,46.0,52.88166999999999,4.0,0.73905,1.0,0.35647,46.0,4.0,0.8244299999999999,1.0,0.16978
73,2.0,2.0,1.75,0.5,64.0,63.79545,2.0,1.69315,4.0,0.6864100000000001,62.0,2.0,1.8158,2.0,0.47084
74,0.0,2.0,0.25,1.85,94.0,94.42383000000001,0.0,0.47793,2.0,1.59817,94.0,0.0,0.28826999999999997,2.0,1.7828
75,3.0,1.0,1.35,0.45,22.0,19.17171,3.0,1.09382,1.0,0.30877,21.0,2.0,1.4932,0.0,0.19560999999999998
76,2.0,4.0,1.0,1.55,86.0,42.172340000000005,2.0,0.7741899999999999,4.0,0.9782200000000001,14.0,1.0,0.6534399999999999,4.0,0.8369700000000001
77,1.0,1.0,0.85,1.0,105.0,108.79496999999999,1.0,0.73085,1.0,0.78694,137.0,3.0,0.99861,1.0,0.50927
78,1.0,0.0,0.65,0.75,193.0,129.48651,1.0,0.66906,1.0,0.6885100000000001,193.0,0.0,0.42683999999999994,1.0,0.51647
79,4.0,0.0,0.55,0.15,75.0,77.137,4.0,0.78451,1.0,0.37206999999999996,75.0,4.0,0.5953,1.0,0.18455
80,4.0,4.0,1.7,0.35,51.0,48.94692,4.0,1.18171,4.0,0.74351,167.0,4.0,1.8865,4.0,1.0546
81,4.0,0.0,1.4,0.3,199.0,43.42718,4.0,1.07647,4.0,1.06171,3.0,4.0,1.3436,4.0,1.2726
82,3.0,4.0,1.0,1.35,158.0,158.7343,2.0,1.3763100000000001,3.0,1.02015,158.0,3.0,1.4695,2.0,0.9629200000000001
83,0.0,3.0,0.35,1.95,188.0,186.80222,0.0,0.33254,3.0,1.4135799999999998,188.0,3.0,0.15623,2.0,1.9905
84,3.0,3.0,1.4,1.7,62.0,56.895790000000005,0.0,1.2661,2.0,1.49347,61.0,2.0,1.7336,2.0,1.6438
85,3.0,3.0,1.3,1.95,2.0,43.12482,0.0,1.25321,3.0,1.60029,4.0,2.0,0.8416600000000001,2.0,1.903
86,0.0,2.0,0.95,1.2,36.0,32.690290000000005,0.0,0.80091,4.0,0.6922,36.0,0.0,0.56139,2.0,1.0273
87,1.0,0.0,0.3,0.95,69.0,66.34496,1.0,0.19775,1.0,0.7551899999999999,69.0,1.0,0.18004,1.0,0.8361
88,4.0,1.0,0.3,0.7,108.0,110.10524,4.0,0.48398,1.0,0.3886,108.0,4.0,0.44616000000000006,0.0,0.18227000000000002
89,2.0,1.0,1.85,0.5,160.0,154.44521,2.0,1.8433,1.0,0.62541,160.0,2.0,1.8599,4.0,0.9908899999999999
90,0.0,1.0,0.65,0.7,60.0,58.01257,1.0,0.35645,1.0,0.53369,60.0,0.0,0.15650999999999998,0.0,0.40779
91,2.0,1.0,0.15,0.3,34.0,36.748090000000005,1.0,0.5805,1.0,0.31172,34.0,4.0,0.35759,2.0,0.06844299999999999
92,3.0,3.0,1.15,1.85,42.0,122.15378,2.0,0.9364100000000001,2.0,1.3230899999999999,42.0,2.0,0.9494299999999999,2.0,1.683
93,2.0,1.0,1.85,0.45,159.0,156.02331,2.0,1.7588700000000002,3.0,0.44118,159.0,2.0,1.7665,1.0,0.1974
94,3.0,0.0,1.2,0.2,128.0,141.842,2.0,1.41105,4.0,0.9023100000000001,131.0,3.0,1.0909,2.0,0.9311200000000001
95,1.0,3.0,0.95,1.2,190.0,189.07888,1.0,0.38524,2.0,1.20618,190.0,0.0,0.8657600000000001,2.0,1.7489
96,1.0,1.0,0.35,0.8,13.0,10.4399,1.0,0.76898,1.0,0.69187,23.0,3.0,0.78155,3.0,0.78155
97,0.0,4.0,0.35,1.75,113.0,114.75171,0.0,0.5573600000000001,4.0,0.8706299999999999,113.0,1.0,0.7413,4.0,0.9954299999999999
98,1.0,3.0,0.85,1.45,36.0,38.27146,1.0,0.6743899999999999,2.0,1.35125,36.0,3.0,1.1197,3.0,1.1197
99,4.0,1.0,0.9,0.4,137.0,123.68198000000001,2.0,1.02486,1.0,0.41431,137.0,1.0,0.90205,0.0,0.19172999999999998
100,1.0,4.0,0.45,2.0,194.0,127.84345,1.0,0.60285,1.0,0.95514,188.0,1.0,0.45228,0.0,0.94168
101,3.0,4.0,1.0,0.65,25.0,23.66687,4.0,0.77522,4.0,0.71334,25.0,2.0,0.9726899999999999,4.0,0.7914
102,3.0,0.0,1.0,0.6,113.0,115.12338000000001,2.0,1.2320799999999998,1.0,0.91175,113.0,3.0,1.2776,1.0,0.9616399999999999
103,2.0,3.0,0.55,1.25,134.0,135.89346,2.0,0.5593,2.0,1.0694700000000001,134.0,2.0,0.46636000000000005,2.0,1.5559
104,2.0,1.0,1.55,0.9,181.0,183.31575,2.0,1.52979,1.0,0.70597,181.0,2.0,1.665,1.0,0.26566
105,3.0,1.0,1.2,0.95,53.0,54.110380000000006,3.0,1.58602,1.0,0.41067,53.0,2.0,1.6035,1.0,0.17402
106,3.0,0.0,1.8,0.95,101.0,102.54709,3.0,1.68337,1.0,0.7379399999999999,101.0,2.0,1.8111,0.0,0.35956
107,0.0,1.0,0.55,0.6,34.0,32.281890000000004,0.0,0.45976999999999996,1.0,0.31112,34.0,0.0,0.35844000000000004,0.0,0.16087
108,3.0,3.0,1.25,2.0,106.0,102.90265,2.0,1.25529,3.0,1.82686,106.0,2.0,1.3277,2.0,2.0
109,4.0,2.0,0.15,1.75,70.0,67.44827,4.0,0.53852,2.0,1.68977,70.0,4.0,0.2594,2.0,1.7311
110,0.0,1.0,0.85,1.0,48.0,43.22654,0.0,0.76907,1.0,0.66723,54.0,0.0,0.42967,0.0,0.26249
111,1.0,0.0,0.35,0.9,169.0,173.88626000000002,1.0,0.5119199999999999,4.0,0.9495299999999999,150.0,3.0,0.64479,3.0,0.64479
112,1.0,1.0,0.85,0.05,181.0,123.7274,1.0,0.86439,1.0,0.73528,181.0,1.0,0.9385600000000001,4.0,1.8034
113,3.0,3.0,1.5,1.0,49.0,28.98913,3.0,1.2486899999999999,4.0,1.10849,49.0,2.0,1.4194,2.0,1.3055
114,2.0,0.0,1.6,0.25,160.0,156.85894,2.0,1.61022,1.0,0.41378000000000004,160.0,2.0,1.676,1.0,0.19944
115,4.0,2.0,0.7,1.05,150.0,106.89251000000002,4.0,0.6410600000000001,4.0,1.07843,152.0,4.0,0.75576,2.0,1.061
116,2.0,1.0,1.0,0.75,158.0,153.42186999999998,4.0,0.8900399999999999,1.0,0.76499,158.0,2.0,0.9215899999999999,1.0,0.7902600000000001
117,4.0,1.0,0.15,0.05,109.0,108.6283,4.0,0.46916,1.0,0.40389,109.0,4.0,0.35401,0.0,0.18192
118,2.0,1.0,1.8,0.55,40.0,40.915929999999996,2.0,1.32354,1.0,0.31971,40.0,2.0,1.6186,0.0,0.15517
119,2.0,3.0,1.4,1.2,77.0,60.66126,2.0,1.08548,3.0,1.38867,77.0,2.0,1.2565,2.0,1.5541
120,2.0,3.0,0.35,1.9,70.0,73.89549,2.0,0.74964,3.0,1.54997,69.0,3.0,1.5502,3.0,1.5502
121,4.0,2.0,1.1,0.8,95.0,94.99086,4.0,1.21605,4.0,0.83741,94.0,4.0,1.3761,2.0,0.9344
122,0.0,0.0,0.75,0.45,18.0,19.72792,0.0,0.95283,0.0,0.93205,22.0,1.0,0.80735,2.0,1.3156
123,3.0,4.0,1.0,0.25,65.0,53.163869999999996,2.0,1.52998,4.0,0.75746,66.0,3.0,1.6418,4.0,0.9447
124,3.0,2.0,1.05,0.05,75.0,69.27972,2.0,1.3322100000000001,1.0,0.33077,75.0,2.0,1.3568,0.0,0.22174000000000002
125,3.0,0.0,1.95,0.6,59.0,58.80046,3.0,1.21668,4.0,0.7329399999999999,59.0,2.0,1.5588,4.0,0.8858600000000001
126,3.0,2.0,1.25,1.45,62.0,48.31185,3.0,1.01191,2.0,0.9610799999999999,62.0,4.0,0.95845,2.0,1.2434
127,2.0,4.0,1.0,1.35,53.0,51.5029,4.0,1.0484799999999999,4.0,0.98493,53.0,4.0,1.1493,4.0,1.169
128,4.0,0.0,0.55,0.25,167.0,116.34076,4.0,0.54686,0.0,0.62862,168.0,4.0,0.56848,4.0,1.7012
129,3.0,2.0,1.7,1.55,136.0,150.92826000000002,2.0,1.44294,4.0,1.0376299999999998,136.0,3.0,1.2009,2.0,1.5126
130,3.0,3.0,1.4,1.8,73.0,76.27068,2.0,1.06784,2.0,1.51583,73.0,3.0,1.6062,3.0,1.6062
131,1.0,2.0,0.75,0.45,13.0,18.12264,1.0,0.71736,2.0,0.44786000000000004,13.0,1.0,0.5844,2.0,0.4574
132,0.0,0.0,0.45,0.05,72.0,76.95238,0.0,0.8839100000000001,2.0,0.8936700000000001,64.0,0.0,0.5373100000000001,4.0,0.6202
133,3.0,2.0,1.2,1.0,176.0,176.97006000000002,2.0,1.27035,4.0,0.81339,176.0,2.0,1.5018,2.0,1.3004
134,4.0,2.0,1.65,0.05,90.0,87.92569,4.0,1.0126899999999999,1.0,0.36544,90.0,4.0,1.5134,1.0,0.16007000000000002
135,3.0,1.0,1.2,0.8,48.0,49.70496,3.0,1.6483400000000001,1.0,0.8248200000000001,48.0,3.0,1.0287,3.0,1.0287
136,0.0,4.0,0.9,0.4,91.0,92.42915,0.0,0.9336399999999999,4.0,0.8539899999999999,91.0,1.0,0.97909,2.0,0.91904
137,4.0,1.0,0.25,0.25,5.0,8.4553,0.0,0.8115600000000001,1.0,0.49223,40.0,3.0,0.69513,1.0,0.17103
